key,input,activity10
XIQVNETUBQGFHX-UHFFFAOYSA-N,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.1264498
UECFQNMLGNHNSO-JYUHDHNASA-N,CCCOc1cc(C(F)(F)F)cc2c1n(C)/c(=N/c1ccc(OC(F)(F)F)cc1)n2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,0.48844886
JVAGCUZHLINKTQ-UHFFFAOYSA-N,O=C(Cc1ccc(F)cc1)N1CCC(CC2CC(c3ccc(Cl)cc3)=NO2)(C(=O)NCC2CCCCC2)CC1,0.5940594
LDTUIPCDYVXKIB-UHFFFAOYSA-N,CCn1nc(Cc2ccc(OC(C)C)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1,0.980198
KHNCPWUJSRUVHU-UHFFFAOYSA-N,Cc1cccc(N2CCN(CC(O)COCc3cccs3)CC2)c1C,0.5655941
QNVWCKHJEDARPZ-LGJNPRDNSA-N,COc1ccc2c3ncn(/N=C/c4ccc(OC)c(CN5CCCC5)c4)c(O)c-3nc2c1,0.5869637
PAJBNEAIPBNKCW-UHFFFAOYSA-N,CCCCCCCCn1c2c(c(=N)c3c1CCC3)CCCC2,0.7227723
JLIZTFPVKKSYSJ-UHFFFAOYSA-N,CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.7541254
WZWYMMBXUSEMQG-UHFFFAOYSA-N,CN(Cc1ccccc1)C(=O)CSc1nnc(-c2ccco2)n1-c1ccccc1,0.63044554
UFVYCCSRJXQLTF-UHFFFAOYSA-N,Clc1ccc(-n2cccc2CN2CCc3c([nH]c4ccccc34)C2c2ccccn2)nc1,0.74752474
DWEFOPPCMXSOSC-UHFFFAOYSA-N,COc1ccc(C2C(C(=O)OCc3ccccc3)C(C)=Nc3nnnn32)c(C#N)c1,0.40841585
DNSZJAFGHJNCIE-UHFFFAOYSA-N,Cc1cccc(Nc2nc(NC3CC(F)(F)CCC3N)ncc2C(N)=O)c1,0.41336635
IVQNHHQASOYCQD-UHFFFAOYSA-N,CN(C)C1=NCC(Cc2ccccc2)N1CCCC1CCCCC1,0.71749175
XHHSQAOCTYSLLM-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)COC1F,0.5266384
PBFIXCPNDGGMRZ-UHFFFAOYSA-N,Cc1ncccc1-c1nc2cn(-c3cccc(OC(F)F)c3)nc2c(=O)n1CC1CCCN(CC2CCCO2)C1,0.6212046
CZJAIMJFUTZPQP-UHFFFAOYSA-N,O=C(CSc1ccc2nnc(-c3ccccn3)n2n1)NCc1ccc2c(c1)OCO2,0.42079207
VLUCTGXHNZESMM-UHFFFAOYSA-N,CC(=O)C1CCN(CCOc2ccn(-c3ccc(Cl)c(Cl)c3)n2)CC1,0.6930693
KPYWDUUGBKKBQA-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)CC2CC(N(C)C(C)C)CCC2N2CCC(NC(=O)c3cccc(C(F)(F)F)c3)C2=O)cc1,0.62854785
IBDZHVJBQBHARX-UHFFFAOYSA-N,CC(C)N1CCN(C(=O)N(C)Cc2ccc(-c3ccccc3)cc2)CC1,0.74752474
YNPRATQODWQQPG-UHFFFAOYSA-N,O=C(c1ccccc1OC(F)(F)F)N1CCC(N(C2CC2)S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,0.63036305
PGOJHZGQPJHNES-UHFFFAOYSA-N,COCC1CCN(C(=O)C2CCN(c3nc(-c4ccccc4)nc4c3CCC4)CC2)C1,0.47029704
IRFUWVMQSIYRNE-UHFFFAOYSA-N,CCC1CN(c2nc(N)c(-c3nnc(N(C)C)o3)nc2Cl)CCN1C1CCN(C(=O)c2ccc(Cl)nc2N)CC1,0.36980197
FMBCRSJKWVTHQT-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)o1,0.54314005
GXYGMYVYRCYUNI-UHFFFAOYSA-N,CC(C)c1csc(CN2CCN(CCc3ccccc3)C(CCO)C2)n1,0.5782178
DJDXKVAQPLDBJG-UHFFFAOYSA-N,CC(C)CC(COc1ccccc1)N1CCN(CCc2ccccc2)CCC1=O,0.86782175
CUWASSVZVAQYSB-UHFFFAOYSA-N,CN1C=CC(c2ccccc2CC2CCNC2=O)=CC1,0.53019804
UZTTYCZIXNNHEO-UHFFFAOYSA-N,COc1ccc(-n2c(SCC(=O)NCc3cccs3)nnc2-c2ccoc2C)cc1,0.3787954
UASDPZILQVPPIH-UHFFFAOYSA-N,CN1CCN(c2ccccc2CC2CCN(c3ccc(-c4ccncc4)cc3)C2=O)CC1,0.8589109
QZIWSBDAUOASFY-UHFFFAOYSA-N,COc1ccc(CC2CN3C(=NCC3C(C)C)N2CC(C)NC(=O)c2ccc(C)c(Br)c2)cc1,0.5762376
