key,input,activity10
LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.44059405
OBMNJSNZOWALQB-NCQNOWPTSA-N,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,0.36963695
BVAZQCUMNICBAQ-PZHYSIFUSA-N,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,0.35148516
FGQFOYHRJSUHMR-UHFFFAOYSA-N,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,0.32920793
RDMOROXKXONCAL-UEKVPHQBSA-N,COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0.12103961
UUTKICFRNVKFRG-WDSKDSINSA-N,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,0.073927395
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,0.62376237
QXWZQTURMXZVHJ-UHFFFAOYSA-N,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,0.5759076
ODHCTXKNWHHXJC-UHFFFAOYSA-N,O=C1CCC(C(=O)O)N1,0.030528054
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,0.17821783
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,0.090759076
XNEFYCZVKIDDMS-UHFFFAOYSA-N,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,0.5008251
PWACSDKDOHSSQD-IUTFFREVSA-N,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,0.38118812
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,0.17821783
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,0.17821783
NWIUTZDMDHAVTP-KRWDZBQOSA-N,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,0.43729374
FIPWRIJSWJWJAI-UHFFFAOYSA-N,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,0.6522277
VEZXCJBBBCKRPI-UHFFFAOYSA-N,O=C1CCO1,0.05610561
GNOGSFBXBWBTIG-UHFFFAOYSA-N,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,0.10272277
GGGDNPWHMNJRFN-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,0.11509901
DQKXQSGTHWVTAD-UHFFFAOYSA-N,CCCCOc1ccc(OCCCN2CCOCC2)cc1,0.9207921
QQHMKNYGKVVGCZ-UHFFFAOYSA-N,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,0.20255776
CAJIGINSTLKQMM-UHFFFAOYSA-N,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,0.33448845
WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0.20330033
YMOXVLQZFAUUKI-UHFFFAOYSA-N,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,0.105610564
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,0.17821783
YQNFBOJPTAXAKV-OMCISZLKSA-N,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,0.32425743
JTNHOVZOOVVGHI-UHFFFAOYSA-N,Cc1cc(OP(=O)(O)O)c2ccccc2c1OP(=O)(O)O,0.25074258
DUYJMQONPNNFPI-UHFFFAOYSA-N,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.48184818
IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,0.17821783
