Standardised_smiles,Inchikey
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,LQBVNQSMGBZMKD-UHFFFAOYSA-N
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,OBMNJSNZOWALQB-NCQNOWPTSA-N
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,BVAZQCUMNICBAQ-PZHYSIFUSA-N
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,FGQFOYHRJSUHMR-UHFFFAOYSA-N
COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,RDMOROXKXONCAL-UEKVPHQBSA-N
O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,UUTKICFRNVKFRG-WDSKDSINSA-N
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,KDGFLJKFZUIJMX-UHFFFAOYSA-N
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,QXWZQTURMXZVHJ-UHFFFAOYSA-N
O=C1CCC(C(=O)O)N1,ODHCTXKNWHHXJC-UHFFFAOYSA-N
CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N
Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,XNEFYCZVKIDDMS-UHFFFAOYSA-N
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,PWACSDKDOHSSQD-IUTFFREVSA-N
CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N
CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP-KRWDZBQOSA-N
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,FIPWRIJSWJWJAI-UHFFFAOYSA-N
O=C1CCO1,VEZXCJBBBCKRPI-UHFFFAOYSA-N
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,GNOGSFBXBWBTIG-UHFFFAOYSA-N
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,GGGDNPWHMNJRFN-UHFFFAOYSA-N
CCCCOc1ccc(OCCCN2CCOCC2)cc1,DQKXQSGTHWVTAD-UHFFFAOYSA-N
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,QQHMKNYGKVVGCZ-UHFFFAOYSA-N
CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,CAJIGINSTLKQMM-UHFFFAOYSA-N
